WKT,GEOID,week_ending,biweekly_average_pm_pred,biweekly_average_pm_var,biweekly_average_o3_pred,biweekly_average_o3_var
"POINT (-765808.689981512 1895667.02167065)",08031000502,2014/05/04,4.8705770032127,0.699737344419892,53.7181743109905,8.18462705246025
"POINT (-764716.51914043 1895519.53504791)",08031000600,2014/05/04,5.00008224908863,0.494655110853025,53.5486140249483,7.5775535234703
"POINT (-767128.734030772 1894318.82747781)",08031000701,2014/05/04,4.96952996711286,0.779133998733043,54.0741525331434,9.07777324956081
"POINT (-765934.097210092 1894331.18906867)",08031000702,2014/05/04,5.39159253251484,0.442722616618793,53.9766478772236,8.88601705546155
"POINT (-765047.301229738 1893711.59353466)",08031000800,2014/05/04,5.78611872196674,0.0804901356297483,54.0332682946108,8.81917171100003
"POINT (-767377.346766328 1891990.9758612)",08031000902,2014/05/04,4.88082016233968,0.858474045669969,54.1769867844426,9.24177842523321
"POINT (-766188.624786908 1891860.42316043)",08031000903,2014/05/04,5.27233293746654,0.588893932740288,54.1652156878382,9.22630824871098
"POINT (-767268.273994791 1893322.27668872)",08031000904,2014/05/04,5.02061236458269,0.763429120303532,54.1371110590106,9.18277451136168
"POINT (-766029.281865715 1893204.56542005)",08031000905,2014/05/04,5.55256132931541,0.331304473311638,54.0976560482503,9.12090830214286
"POINT (-764750.057381544 1891586.4218553)",08031001000,2014/05/04,5.51466659284231,0.437748831983447,54.1956235560587,9.07678257444275
"POINT (-763269.311130168 1897720.81693811)",08031001101,2014/05/04,3.8685202459445,0.0815461613317794,52.4653979929486,0.909023712237568
"POINT (-763444.560652863 1896676.95336067)",08031001102,2014/05/04,4.25771208444033,0.276016984188815,52.894242249541,4.04947265502175
"POINT (-765140.567276088 1890153.61528698)",08031001301,2014/05/04,4.9434755536101,0.896398184471125,54.2270487626564,9.11462051875607
"POINT (-763902.478086945 1889920.14322833)",08031001302,2014/05/04,4.857893238861,0.944809373905619,54.2277783503358,9.11532436285703
"POINT (-764550.46696992 1888874.3487906)",08031001401,2014/05/04,4.61731629648029,1.05934212115476,54.2347330654606,9.12328588950256
