GEOID,total_crimes,total_violent,total_property,avg_total_crimes,avg_violent_crimes,avg_property_crimes,pop,crime_rate,violent_rate,property_rate
ARAPAHOE,11491,2577,8914,0.501856138358737,0.11254749530506179,0.38930864305367513,74481.5,0.006737997198750522,0.0015110798695657551,0.005226917329184766
ARCHULETA,454,126,328,0.01982792505568415,0.005502904310608377,0.014325020745075774,10563.5,0.001877022299018711,5.209357041329461e-4,0.0013560865948857646
ARVADA,23037,2735,20302,1.0061143381228983,0.11944796261518976,0.8866663755077084,106632,0.009435388421139041,0.0011201887108484296,0.008315199710290612
ASPEN,1775,192,1583,0.07752107262960213,0.008385377997117527,0.0691356946324846,6734.25,0.011511463433879368,0.0012451836503125852,0.010266279783566782
AURORA,81739,17482,64257,3.569856313054112,0.7635061361750448,2.806350176879067,294454.6,0.01212362215789501,0.002592950275441596,0.009530671882453415
AVON,192,29,163,0.008385377997117527,0.0012665414683146264,0.0071188365288029,6486.25,0.001292792907630376,1.9526559542333804e-4,0.001097527312207038
BACA,28,9,19,0.0012228676245796392,3.9306459361488407e-4,8.298030309647552e-4,1683.75,7.262762432544257e-4,2.334459353317797e-4,4.92830307922646e-4
BAYFIELD,1,1,NA,4.367384373498712e-5,4.367384373498712e-5,NA,2529,1.72692146045817e-5,1.72692146045817e-5,NA
BENT,7,NA,7,3.057169061449098e-4,NA,3.057169061449098e-4,5534,5.524338744938739e-5,NA,5.524338744938739e-5
BLACK,1,NA,1,4.367384373498712e-5,NA,4.367384373498712e-5,-6,NA,NA,NA
BLUE,20,NA,20,8.734768746997423e-4,NA,8.734768746997423e-4,-6,NA,NA,NA
BOW,76,NA,76,0.003319212123859021,NA,0.003319212123859021,-6,NA,NA,NA
BRECKENRIDGE,2344,234,2110,0.1023714897148098,0.010219679433986986,0.09215181028082281,4404.2,0.02324406015049494,0.0023204394518838807,0.020923620698611055
BRIGHTON,8268,1138,7130,0.36109534000087345,0.04970083417041534,0.31139450583045813,34008.4,0.010617827948414904,0.0014614281815791197,0.009156399766835785
BROOMFIELD,8777,875,7902,0.3833253264619819,0.03821461326811373,0.3451107131938682,58450,0.006558174960855123,6.538000559129808e-4,0.0059043749049421425
BRUSH,485,76,409,0.021181814211468752,0.003319212123859021,0.01786260208760973,5459.8,0.003879595262000211,6.079365771381774e-4,0.0032716586848620336
BURLINGTON,1,1,NA,4.367384373498712e-5,4.367384373498712e-5,NA,4328,1.00909990145534e-5,1.00909990145534e-5,NA
CAMPO,10,1,9,4.3673843734987115e-4,4.367384373498712e-5,3.9306459361488407e-4,109.66666666666667,0.003982417361852928,0.00039824173618529287,0.003584175625667636
CANON,5250,NA,5250,0.22928767960868235,NA,0.22928767960868235,-6,NA,NA,NA
CARBONDALE,699,135,564,0.030528016770755995,0.005895968904223261,0.024632047866532735,6539,0.004668606326771065,9.016621661145834e-4,0.003766944160656482
CASTLE,2673,NA,2673,0.11674018430362056,NA,0.11674018430362056,-6,NA,NA,NA
