WKT,GEOID,week_ending,biweekly_average_o3_pred,biweekly_average_o3_var
"POINT (-767841.666685376 1883859.32735311)",08031005502,2014/02/23,40.0482822772402,12.9703124125838
"POINT (-767841.666685376 1883859.32735311)",08031005502,2014/03/09,35.8091542162986,26.4444106392186
"POINT (-767841.666685376 1883859.32735311)",08031005502,2014/03/23,47.1938775352356,11.9551891338139
"POINT (-767841.666685376 1883859.32735311)",08031005502,2014/04/06,50.2958979499334,10.3581772041156
"POINT (-767841.666685376 1883859.32735311)",08031005502,2014/04/20,51.6122339667196,12.7366277710874
"POINT (-767841.666685376 1883859.32735311)",08031005502,2014/05/04,54.1691784373796,9.25622065089463
"POINT (-767841.666685376 1883859.32735311)",08031005502,2014/05/18,48.3414840404227,18.8569686615254
"POINT (-767841.666685376 1883859.32735311)",08031005502,2014/06/01,52.4583632295415,15.0126265685367
"POINT (-767841.666685376 1883859.32735311)",08031005502,2014/06/15,54.1831056032021,14.0326352553761
"POINT (-767841.666685376 1883859.32735311)",08031005502,2014/06/29,55.6428571428571,15.1096371413078
"POINT (-767841.666685376 1883859.32735311)",08031005502,2014/07/13,60.024699173674,19.4203354043768
"POINT (-767841.666685376 1883859.32735311)",08031005502,2014/07/27,58.1122380054409,13.0114280172708
"POINT (-767841.666685376 1883859.32735311)",08031005502,2014/08/10,55.3988791189642,15.0749722541676
"POINT (-767841.666685376 1883859.32735311)",08031005502,2014/08/24,52.6224364271049,16.2112482596617
"POINT (-767841.666685376 1883859.32735311)",08031005502,2014/09/07,47.3192507289232,24.6011813870795
"POINT (-767841.666685376 1883859.32735311)",08031005502,2014/09/21,44.0187663347768,23.7290866316918
"POINT (-767841.666685376 1883859.32735311)",08031005502,2014/10/05,45.0375409597421,25.9649132308998
"POINT (-767841.666685376 1883859.32735311)",08031005502,2014/10/19,40.7904578386222,37.6037376426631
"POINT (-767841.666685376 1883859.32735311)",08031005502,2014/11/02,38.0529734506761,23.5435020295632
"POINT (-767841.666685376 1883859.32735311)",08031005502,2014/11/16,32.0381587079128,29.0056906061044
"POINT (-767841.666685376 1883859.32735311)",08031005502,2014/11/30,35.6873307185137,30.4643244263908
"POINT (-767841.666685376 1883859.32735311)",08031005502,2014/12/14,24.6093082522476,83.0481535659821
"POINT (-767841.666685376 1883859.32735311)",08031005502,2014/12/28,27.9097531477139,43.1317651635383
"POINT (-767790.896525222 1882434.04245721)",08031005503,2014/01/12,34.8994913092534,48.6274876300451
"POINT (-767790.896525222 1882434.04245721)",08031005503,2014/01/26,40.7881933089474,38.222578360103
"POINT (-767790.896525222 1882434.04245721)",08031005503,2014/02/09,33.6126529423214,33.7283670457354
"POINT (-767790.896525222 1882434.04245721)",08031005503,2014/02/23,40.124094914345,13.0558372215205
"POINT (-767790.896525222 1882434.04245721)",08031005503,2014/03/09,35.7756125452927,26.7140085943173
"POINT (-767790.896525222 1882434.04245721)",08031005503,2014/03/23,47.1938775353664,11.9551891339363
"POINT (-767790.896525222 1882434.04245721)",08031005503,2014/04/06,50.295899574998,10.3581782790246
"POINT (-767790.896525222 1882434.04245721)",08031005503,2014/04/20,51.6122351382208,12.7366286180806
"POINT (-767790.896525222 1882434.04245721)",08031005503,2014/05/04,54.1743947110589,9.25828119170937
"POINT (-767790.896525222 1882434.04245721)",08031005503,2014/05/18,48.4583291131921,18.8189766259402
"POINT (-767790.896525222 1882434.04245721)",08031005503,2014/06/01,52.6519302280787,15.0145356715185
"POINT (-767790.896525222 1882434.04245721)",08031005503,2014/06/15,54.1931207937693,14.1040474020669
"POINT (-767790.896525222 1882434.04245721)",08031005503,2014/06/29,55.6428571428571,15.1096371413078
"POINT (-767790.896525222 1882434.04245721)",08031005503,2014/07/13,60.0403536718994,19.4292151413494
"POINT (-767790.896525222 1882434.04245721)",08031005503,2014/07/27,58.1122383925972,13.011428398038
"POINT (-767790.896525222 1882434.04245721)",08031005503,2014/08/10,55.3454196146404,15.1698553803782
"POINT (-767790.896525222 1882434.04245721)",08031005503,2014/08/24,52.6224370908657,16.2112492217762
"POINT (-767790.896525222 1882434.04245721)",08031005503,2014/09/07,47.3202529198343,24.6757378478327
"POINT (-767790.896525222 1882434.04245721)",08031005503,2014/09/21,44.0341672816917,23.8351548223941
"POINT (-767790.896525222 1882434.04245721)",08031005503,2014/10/05,44.9898431074719,26.104421764927
"POINT (-767790.896525222 1882434.04245721)",08031005503,2014/10/19,40.8006137316295,37.833448441263
"POINT (-767790.896525222 1882434.04245721)",08031005503,2014/11/02,38.0524163681042,23.7009272388374
"POINT (-767790.896525222 1882434.04245721)",08031005503,2014/11/16,32.0381587079128,29.0056906061044
