WKT,GEOID,week_ending,biweekly_average_pm_pred,biweekly_average_pm_var
"POINT (-755678.474263139 1895156.42807912)",08031004104,2014/02/23,12.3605873161764,22.4882716356432
"POINT (-755678.474263139 1895156.42807912)",08031004104,2014/03/09,9.73141272343532,2.7835460204182
"POINT (-755678.474263139 1895156.42807912)",08031004104,2014/03/23,3.75469858328303,0.881811930215555
"POINT (-755678.474263139 1895156.42807912)",08031004104,2014/04/06,5.46068774469634,1.22491285005375
"POINT (-755678.474263139 1895156.42807912)",08031004104,2014/04/20,5.03651091105229,1.09706648756453
"POINT (-755678.474263139 1895156.42807912)",08031004104,2014/05/04,4.33822014793063,1.12804966209686
"POINT (-755678.474263139 1895156.42807912)",08031004104,2014/05/18,5.1375415622731,0.571005961257036
"POINT (-755678.474263139 1895156.42807912)",08031004104,2014/06/01,6.45974293894305,0.754633128662475
"POINT (-755678.474263139 1895156.42807912)",08031004104,2014/06/15,7.52434326263754,1.14608819265332
"POINT (-755678.474263139 1895156.42807912)",08031004104,2014/06/29,6.86715896013249,0.441110618397854
"POINT (-755678.474263139 1895156.42807912)",08031004104,2014/07/13,10.0778370493174,4.4156386740732
"POINT (-755678.474263139 1895156.42807912)",08031004104,2014/07/27,8.65477381620373,1.43627968419464
"POINT (-755678.474263139 1895156.42807912)",08031004104,2014/08/10,7.14612652561643,1.54541928759059
"POINT (-755678.474263139 1895156.42807912)",08031004104,2014/08/24,7.1192019770772,0.888643690743127
"POINT (-755678.474263139 1895156.42807912)",08031004104,2014/09/07,5.90488461845742,1.38967576875635
"POINT (-755678.474263139 1895156.42807912)",08031004104,2014/09/21,6.1692915038588,1.80680590521992
"POINT (-755678.474263139 1895156.42807912)",08031004104,2014/10/05,6.75262142304125,1.24640206730346
"POINT (-755678.474263139 1895156.42807912)",08031004104,2014/10/19,6.64674681537393,2.01172706659782
"POINT (-755678.474263139 1895156.42807912)",08031004104,2014/11/02,8.87586062310552,3.13669470802062
"POINT (-755678.474263139 1895156.42807912)",08031004104,2014/11/16,8.17069169398592,6.64532870102828
"POINT (-755678.474263139 1895156.42807912)",08031004104,2014/11/30,6.81424315729676,1.83403000640153
"POINT (-755678.474263139 1895156.42807912)",08031004104,2014/12/14,15.1595924820404,9.47823224710576
"POINT (-755678.474263139 1895156.42807912)",08031004104,2014/12/28,9.90232344625341,3.88530472325278
"POINT (-751891.735809772 1897129.74117282)",08031004106,2014/01/12,11.2388686014741,10.5223908291234
"POINT (-751891.735809772 1897129.74117282)",08031004106,2014/01/26,6.13096683475391,1.90839332615762
"POINT (-751891.735809772 1897129.74117282)",08031004106,2014/02/09,16.5615939843165,32.6801054899867
"POINT (-751891.735809772 1897129.74117282)",08031004106,2014/02/23,11.8961510831903,26.2142279316159
"POINT (-751891.735809772 1897129.74117282)",08031004106,2014/03/09,9.59872534141361,3.33236934560812
"POINT (-751891.735809772 1897129.74117282)",08031004106,2014/03/23,3.67898929063244,0.91585920624646
"POINT (-751891.735809772 1897129.74117282)",08031004106,2014/04/06,5.46115313771905,1.2313385212319
"POINT (-751891.735809772 1897129.74117282)",08031004106,2014/04/20,5.0502166028363,1.10595811976912
"POINT (-751891.735809772 1897129.74117282)",08031004106,2014/05/04,4.34195434591405,1.13883532161341
"POINT (-751891.735809772 1897129.74117282)",08031004106,2014/05/18,4.92579598847302,0.742526177253493
"POINT (-751891.735809772 1897129.74117282)",08031004106,2014/06/01,6.5626194205898,0.923184246026014
"POINT (-751891.735809772 1897129.74117282)",08031004106,2014/06/15,7.52303891524303,1.22807060380512
"POINT (-751891.735809772 1897129.74117282)",08031004106,2014/06/29,6.3507694362079,0.880374579975556
"POINT (-751891.735809772 1897129.74117282)",08031004106,2014/07/13,10.0989348030907,4.56461220081793
"POINT (-751891.735809772 1897129.74117282)",08031004106,2014/07/27,8.84489260014186,1.55000543289005
"POINT (-751891.735809772 1897129.74117282)",08031004106,2014/08/10,7.19931517386534,1.62855748811016
"POINT (-751891.735809772 1897129.74117282)",08031004106,2014/08/24,7.15323552592159,1.2396870314831
"POINT (-751891.735809772 1897129.74117282)",08031004106,2014/09/07,5.89896765649701,1.40506930339772
"POINT (-751891.735809772 1897129.74117282)",08031004106,2014/09/21,6.06146423655315,1.99569745311285
"POINT (-751891.735809772 1897129.74117282)",08031004106,2014/10/05,6.78746704094995,1.55775350620069
"POINT (-751891.735809772 1897129.74117282)",08031004106,2014/10/19,6.61245238101846,2.24168478450306
"POINT (-751891.735809772 1897129.74117282)",08031004106,2014/11/02,9.10691789028607,3.8785038492425
"POINT (-751891.735809772 1897129.74117282)",08031004106,2014/11/16,8.20224871883843,6.68514023023622
"POINT (-751891.735809772 1897129.74117282)",08031004106,2014/11/30,7.1801594448607,2.41072120650597
"POINT (-751891.735809772 1897129.74117282)",08031004106,2014/12/14,15.6689090650382,10.6800050189591
"POINT (-751891.735809772 1897129.74117282)",08031004106,2014/12/28,9.63311730701887,5.20546310008771
"POINT (-753885.244523157 1897174.80263756)",08031004107,2014/01/12,11.1764184152467,10.1860317491939
"POINT (-753885.244523157 1897174.80263756)",08031004107,2014/01/26,6.11895300452878,1.87248653844889
"POINT (-753885.244523157 1897174.80263756)",08031004107,2014/02/09,16.7842765619441,31.7725426115086
"POINT (-753885.244523157 1897174.80263756)",08031004107,2014/02/23,12.2779821081577,23.746653098431
"POINT (-753885.244523157 1897174.80263756)",08031004107,2014/03/09,9.66488551694585,2.90476360657495
"POINT (-753885.244523157 1897174.80263756)",08031004107,2014/03/23,3.76799335719516,0.887026729441
"POINT (-753885.244523157 1897174.80263756)",08031004107,2014/04/06,5.4568289809381,1.22677601220208
