WKT,TRI_FACILITY_ID,FACILITY_NAME,CLASSIFICATION,total_ppy,total_tpy
"POINT (-763107.461737495 1900901.16607983)",8022WRCKYM581PE,ROCKY MOUNTAIN PRESTRESS LLC (STRUCTURAL PLANT),PBT,6.642299598e-005,3.321149799e-008
"POINT (-763107.461737495 1900901.16607983)",8022WRCKYM581PE,ROCKY MOUNTAIN PRESTRESS LLC (STRUCTURAL PLANT),TRI,0.018959732,9.479866e-006
"POINT (-758513.187422689 1911055.98469222)",80233FTRFM11020,ATLAS ROOFING CORP,TRI,0.0220462,1.10231e-005
"POINT (-751207.769111607 1898462.14506469)",80239BRTLN10660,BRITE-LINE TECHNOLOGIES,PBT,0.0002976237,1.4881185e-007
"POINT (-750868.739487567 1897201.43496971)",80239MLHGH11100,MILE HIGH EQUIPMENT LLC,TRI,0,0
"POINT (-751144.070588692 1896448.80680489)",8023WFSTRV391JL,COLORADO SALT PRODUCTS LLC,TRI,1.7306267,0.00086531335
"POINT (-750817.464533059 1898506.67671085)",8023WJPLMB11955,JP LAMBORN CO,TRI,5.2580187,0.00262900935
"POINT (-751896.406749502 1898601.77473848)",8023WKRGRM1241E,KROGER MOUNTAIN VIEW FOODS,TRI,15.3432292596,0.0076716146298
"POINT (-757086.242959837 1889773.42081269)",8024WSTHRN5512L,"SOUTHERN FOODS GROUP, LLC D/B/A DILLON DAIRY",TRI,0.19621118,9.810559e-005
"POINT (-775477.031202398 1933101.67051767)",80301DTRCH5601N,DIETERICH STANDARD INC,TRI,4.44451392,0.00222225696
"POINT (-778989.498813166 1928935.65683536)",80301HSRCH5555A,AGILENT TECHNOLOGIES BOULDER CO,TRI,13.6444813648,0.0068222406824
"POINT (-778160.625181501 1928012.93988484)",80301LFRGW5959V,MARTIN MARIETTA VALMONT READY MIX,PBT,0.000464292972,2.32146486e-007
"POINT (-778160.625181501 1928012.93988484)",80301LFRGW5959V,MARTIN MARIETTA VALMONT READY MIX,TRI,1.0483188562,0.0005241594281
"POINT (-776390.127783768 1934989.46916111)",80301LXMRK6555M,LEXMARK INTERNATIONAL INC,TRI,43.04741012,0.02152370506
"POINT (-775603.969931787 1933351.50150376)",80301MCRMT7070W,MICRO MOTION INC,TRI,0.94578198,0.00047289099
"POINT (-779466.171375563 1928011.68728862)",80301MKSNS5330S,MKS INSTRUMENTS INC HPS PRO DUCTS DIV,TRI,0,0
"POINT (-780356.59172385 1927997.16478217)",80301NPRBT4884S,HOSPIRA BOULDER INC A PFIZER CO,TRI,88.14511684,0.04407255842
"POINT (-777961.032646103 1927840.31784418)",80301STNFR4840N,SAE CIRCUITS COLORADO INC,PBT,0.065503889902,3.2751944951e-005
"POINT (-777961.032646103 1927840.31784418)",80301STNFR4840N,SAE CIRCUITS COLORADO INC,TRI,1.7726026648,0.0008863013324
"POINT (-779405.683350398 1927115.32190705)",80301SYNTX2075N,CORDEN PHARMA COLORADO INC,TRI,271.619325252,0.135809662626
"POINT (-777746.076706499 1931917.16822032)",80301VLLYL5920L,TYCO HEALTHCARE GROUP L.P.,PBT,0.0031857640848,1.5928820424e-006
"POINT (-777267.789963803 1926845.45679473)",80302PBLCS1800N,PUBLIC SERVICE CO OF COLORADO VALMONT STATION,PBT,34.54619257496,0.01727309628748
"POINT (-777267.789963803 1926845.45679473)",80302PBLCS1800N,PUBLIC SERVICE CO OF COLORADO VALMONT STATION,TRI,1974.8313991824,0.9874156995912
"POINT (-780602.79895425 1950169.67249779)",80305NTNLN325BR,NATIONAL INSTITUTE OF STANDARD&TECHNOLOGY BOULDER,PBT,8.6935221384,0.0043467610692
"POINT (-781568.027227169 1897651.12858714)",80401DLPHC12THF,GOLDEN BREWERY MILLERCOORS LLC,TRI,1149.29706606,0.57464853303
"POINT (-781311.379271359 1892246.9114844)",80401LFRGW1841W,MARTIN MARIETTA SPEC AGG,PBT,0.020115393804,1.0057696902e-005
"POINT (-781173.691618931 1898050.50313241)",80401TRGNN2510T,COLORADO ENERGY NATIONS CO LLC,Dioxin,0.0034392072,1.7196036e-006
"POINT (-781173.691618931 1898050.50313241)",80401TRGNN2510T,COLORADO ENERGY NATIONS CO LLC,PBT,23.961353394,0.011980676697
"POINT (-781173.691618931 1898050.50313241)",80401TRGNN2510T,COLORADO ENERGY NATIONS CO LLC,TRI,2724.7780428,1.3623890214
"POINT (-779408.580107949 1898570.83818349)",80401VLLYM17755,ROCKY MOUNTAIN METAL CONTAINER,PBT,0.0491189336,2.45594668e-005
"POINT (-779408.580107949 1898570.83818349)",80401VLLYM17755,ROCKY MOUNTAIN METAL CONTAINER,TRI,1683.4588551,0.84172942755
"POINT (-776809.360188786 1899438.04407341)",80403BLLPC4525I,BALL METAL BEVERAGE CONTAINER CORP,PBT,0.0521833554,2.60916777e-005
"POINT (-776809.360188786 1899438.04407341)",80403BLLPC4525I,BALL METAL BEVERAGE CONTAINER CORP,TRI,1288.90242294,0.64445121147
"POINT (-778390.46433811 1900172.31741005)",80403CFMRC16351,CF MAIER COMPOSITES INC,TRI,43.77713934,0.02188856967
"POINT (-777934.75045515 1899996.2024902)",80403HRCRS454TA,HARCROS CHEMICALS INC,TRI,0,0
"POINT (-781990.146151191 1912514.44874216)",8040WBSTWY1888H,BESTWAY CONCRETE CO -JEFFCO,TRI,0,0
"POINT (-774256.469461566 1894124.3345668)",8040WLCTRM897TA,ELECTRO-MECHANICAL PRODUCTS INC,TRI,0,0
"POINT (-867628.467392833 1862758.25880746)",8042WCLMXMHIGHW,CLIMAX MOLYBDENUM CO-CLIMAX MINE,PBT,13182.550863592,6.591275431796
"POINT (-867628.467392833 1862758.25880746)",8042WCLMXMHIGHW,CLIMAX MOLYBDENUM CO-CLIMAX MINE,TRI,7287.7902878,3.6438951439
"POINT (-834023.371535952 1903202.9863918)",80438CLMXM9MILE,CLIMAX MOLYBDENUM CO-HENDERSON MINE,PBT,41.78306055,0.020891530275
"POINT (-834023.371535952 1903202.9863918)",80438CLMXM9MILE,CLIMAX MOLYBDENUM CO-HENDERSON MINE,TRI,34135.4652551,17.06773262755
"POINT (-853362.932936485 1916415.71672595)",80468CLMXM19302,CLIMAX MOLYBDENUM CO HENDERSON MILL,PBT,24758.847782636,12.379423891318
"POINT (-853362.932936485 1916415.71672595)",80468CLMXM19302,CLIMAX MOLYBDENUM CO HENDERSON MILL,TRI,640.05409688,0.32002704844
"POINT (-766615.567935826 1943177.30259721)",80501CRCLG129TH,CIRCLE GRAPHICS INC,TRI,190.0161978,0.0950080989
"POINT (-768478.729023083 1940515.49861015)",80501DRSSL1301I,"HUVEPHARMA,INC",TRI,0.6062705,0.00030313525
"POINT (-769464.549097037 1939740.33037249)",80501MNSCR1861L,MATHESON TRIGAS LONGMONT CO BRANCH,TRI,0.0180448147,9.02240735e-006
"POINT (-774966.871313576 1934614.63943871)",80503HLXTC6450D,BROOKS AUTOMATION INC GRANVILLE PHILLIPS PRODUCT,PBT,0,0
"POINT (-757013.071491681 1935785.64014843)",80504DLPHM43WCR,SPARTON MEDICAL SYSTEMS COLORADO OPS,PBT,0,0
"POINT (-750685.1899443 1895516.34232953)",80504GGRGT114E3,AGGREGATE INDUSTRIES WCR INC SAND CREEK READY MIX PLANT,PBT,0.000881848,4.40924e-007
"POINT (-750685.1899443 1895516.34232953)",80504GGRGT114E3,AGGREGATE INDUSTRIES WCR INC SAND CREEK READY MIX PLANT,TRI,0,0
"POINT (-758776.42452422 1939612.62592806)",80504GGRGT12WEL,AGGREGATE INDUSTRIES WCR INC. DEL CAMINO READY MIX PLANT,PBT,0.000881848,4.40924e-007
"POINT (-758776.42452422 1939612.62592806)",80504GGRGT12WEL,AGGREGATE INDUSTRIES WCR INC. DEL CAMINO READY MIX PLANT,TRI,0,0
"POINT (-752561.638266373 1936908.27533518)",80504PRCSN74WEL,ADVANCED FORMING TECHNOLOGY,TRI,161.1588684024,0.0805794342012
"POINT (-755660.997374086 1941219.46770257)",8050WBSTWY1141W,BESTWAY CONCRETE CO-LONGMONT,TRI,0,0
"POINT (-769039.496579894 1941141.24829373)",8050WCRCTS41SSU,CIRCUITS WEST INC,PBT,0.00616632214,3.08316107e-006
"POINT (-766591.930432899 1941638.69917192)",80521WSTRN100MA,WESTERN FOUNDRIES INC,TRI,0.29823107281,0.000149115536405
"POINT (-754411.043383564 1992177.26066104)",80524NHSRB2351B,ANHEUSER-BUSCH FORT COLLINS BREWERY,TRI,267.77534982,0.13388767491
"POINT (-760248.957069252 1989464.29177926)",80524RNCHW416LI,RANCH-WAY FEED MILLS,TRI,0,0
"POINT (-756739.473551474 1988312.15561454)",80524WHTCP334SS,HD SUPPLY CONSTRUCTION SUPPLY LTD. (CO020-6142),TRI,0,0
